날짜,내역,금액,항목
2025-07-02,멜론뮤직,6083,쇼핑
2025-07-03,파리바게뜨,10400,식비
2025-07-03,올리브영,54200,쇼핑
2025-07-06,인프랩,69300,교육비
2025-07-06,스타벅스,4500,식비
2025-07-07,예스24,13600,문화생활
2025-07-07,포몬스,10000,식비
2025-07-11,gs25,2400,식비
2025-07-12,배민,21000,식비
2025-07-16,메가박스,40000,문화생활
2025-07-17,바나프레소,4800,식비
2025-07-17,뚜레쥬르,5320,식비
2025-07-17,CU,1850,식비
2025-07-20,apple,120000,문화생활
2025-07-25,교보문고,18000,교육비
2025-07-28,오토김밥,6000,식비
2025-07-29,파파이스,12300,식비
2025-07-30,이비인후과,5500,의료비
2025-07-30,약국,6500,의료비
2025-07-31,서울교통공사,55000,교통비
2025-08-02,멜론뮤직,6083,쇼핑
2025-08-03,다이소,5000,쇼핑
2025-08-04,올리브영,34000,쇼핑
2025-08-07,공차,4590,식비
2025-08-07,교보문고,15930,교육비
2025-08-10,무신사,158300,쇼핑
2025-08-12,인프랩,61600,교육비
2025-08-13,오토김밥,11000,식비
2025-08-19,CU,10400,식비
2025-08-20,메가커피,2700,식비
2025-08-20,프린트카페,2750,교육비
2025-08-26,apple,14000,쇼핑
2025-08-28,오토김밥,11000,식비
2025-08-30,스타벅스,4700,식비
2025-08-31,서울교통공사,55000,교통비
2025-09-02,멜론뮤직,6083,쇼핑
2025-09-03,CU,2750,식비
2025-09-04,다운타우너버거,14000,식비
2025-09-08,이삭토스트,5500,식비
2025-09-09,TOEIC,52500,교육비
2025-09-09,이마트24,2500,식비
2025-09-10,홍대매점,3300,식비
2025-09-10,다이소,7000,쇼핑
2025-09-12,공차,4590,식비
2025-09-14,메가커피,2700,식비
2025-09-15,홍대매점,8500,식비
2025-09-16,오토김밥,11000,식비
2025-09-17,홍대매점,5700,식비
2025-09-17,학식,5000,식비
2025-09-21,배민,25000,식비
2025-09-22,홍대매점,3300,식비
2025-09-23,마라탕,9700,식비
2025-09-24,메가커피,2700,식비
2025-09-25,CU,5400,식비
2025-09-26,아마스빈,4300,식비
